Day,Weather,Exam_Day,Price,Food_Type,Demand
Saturday,Cloudy,No,39,Beverage,Low
Monday,Cloudy,No,41,Beverage,High
Monday,Cloudy,No,38,Beverage,High
Wednesday,Rainy,Yes,31,Snack,High
Tuesday,Rainy,No,59,Snack,Low
Wednesday,Rainy,Yes,42,Meal,High
Thursday,Rainy,No,32,Meal,High
Monday,Rainy,No,56,Beverage,Low
Monday,Sunny,Yes,49,Beverage,High
Tuesday,Rainy,No,48,Snack,Low
Sunday,Sunny,Yes,39,Beverage,Low
Saturday,Sunny,Yes,21,Snack,High
Monday,Sunny,Yes,26,Snack,High
Tuesday,Sunny,Yes,35,Snack,High
Saturday,Cloudy,Yes,30,Snack,High
Friday,Rainy,Yes,57,Meal,Low
Monday,Cloudy,Yes,45,Meal,High
Tuesday,Cloudy,Yes,50,Beverage,High
Friday,Cloudy,Yes,22,Meal,High
Saturday,Sunny,No,46,Snack,Low
Tuesday,Cloudy,No,30,Snack,Low
Sunday,Rainy,Yes,33,Beverage,High
Monday,Sunny,Yes,49,Snack,Low
Saturday,Sunny,No,34,Meal,Low
Friday,Sunny,Yes,58,Beverage,Low
Wednesday,Rainy,Yes,20,Snack,High
Wednesday,Rainy,Yes,47,Snack,Low
Tuesday,Rainy,No,20,Beverage,High
Wednesday,Rainy,No,36,Meal,High
Wednesday,Rainy,No,32,Meal,High
Sunday,Rainy,No,47,Beverage,Low
Sunday,Rainy,Yes,46,Snack,Low
Wednesday,Sunny,Yes,31,Beverage,High
Sunday,Cloudy,Yes,41,Meal,High
Wednesday,Cloudy,No,26,Meal,High
Wednesday,Sunny,Yes,44,Beverage,Low
Sunday,Rainy,Yes,40,Beverage,High
Friday,Cloudy,Yes,30,Meal,High
Tuesday,Rainy,Yes,32,Snack,High
Sunday,Cloudy,Yes,25,Snack,High
Sunday,Sunny,No,59,Beverage,Low
Thursday,Rainy,No,53,Beverage,Low
Saturday,Rainy,No,29,Beverage,High
Saturday,Cloudy,No,39,Meal,High
Friday,Sunny,Yes,60,Meal,Low
Saturday,Rainy,Yes,58,Meal,Low
Tuesday,Sunny,Yes,57,Snack,Low
Thursday,Rainy,Yes,47,Beverage,Low
Monday,Cloudy,No,51,Snack,Low
Sunday,Rainy,No,48,Snack,Low
Thursday,Sunny,Yes,58,Snack,Low
Monday,Rainy,No,26,Beverage,High
Monday,Sunny,Yes,49,Snack,Low
Wednesday,Cloudy,No,59,Meal,Low
Friday,Cloudy,Yes,35,Beverage,High
Monday,Rainy,No,34,Meal,High
Monday,Rainy,No,53,Snack,Low
Monday,Rainy,No,28,Meal,High
Tuesday,Rainy,No,43,Snack,Low
Thursday,Rainy,Yes,25,Snack,High
Saturday,Sunny,No,46,Beverage,Low
Thursday,Sunny,No,39,Beverage,High
Saturday,Sunny,No,59,Snack,Low
Thursday,Cloudy,Yes,48,Beverage,Low
Friday,Sunny,No,31,Meal,Low
Friday,Rainy,Yes,42,Beverage,High
Saturday,Rainy,Yes,31,Meal,High
Saturday,Rainy,Yes,20,Snack,High
Monday,Cloudy,Yes,57,Snack,Low
Sunday,Rainy,Yes,54,Beverage,Low
Tuesday,Rainy,Yes,50,Meal,High
Thursday,Cloudy,Yes,52,Beverage,Low
Saturday,Sunny,Yes,49,Snack,High
Friday,Rainy,No,50,Beverage,Low
Wednesday,Rainy,No,49,Beverage,High
Monday,Rainy,Yes,33,Beverage,High
Wednesday,Sunny,Yes,26,Meal,High
Monday,Sunny,No,60,Beverage,Low
Wednesday,Rainy,No,27,Snack,Low
Thursday,Sunny,Yes,42,Snack,Low
Saturday,Cloudy,No,43,Snack,Low
Wednesday,Rainy,No,51,Meal,Low
Monday,Sunny,Yes,36,Snack,Low
Sunday,Sunny,No,39,Meal,Low
Friday,Sunny,No,56,Snack,Low
Tuesday,Sunny,Yes,49,Beverage,High
Wednesday,Rainy,Yes,31,Snack,High
Tuesday,Sunny,No,46,Snack,Low
Friday,Sunny,No,35,Snack,Low
Saturday,Rainy,No,29,Meal,High
Thursday,Sunny,Yes,55,Beverage,Low
Friday,Rainy,Yes,39,Meal,High
Saturday,Rainy,No,52,Meal,Low
Monday,Sunny,Yes,27,Meal,High
Friday,Rainy,Yes,52,Meal,Low
Thursday,Cloudy,Yes,37,Beverage,Low
Sunday,Cloudy,Yes,54,Meal,Low
Monday,Rainy,Yes,39,Meal,High
Monday,Cloudy,Yes,52,Meal,Low
Saturday,Sunny,No,33,Beverage,Low
Friday,Sunny,Yes,38,Snack,Low
Sunday,Cloudy,No,48,Meal,High
Sunday,Rainy,Yes,29,Beverage,High
Monday,Cloudy,Yes,45,Meal,Low
Thursday,Sunny,No,29,Beverage,High
Wednesday,Cloudy,No,52,Beverage,Low
Saturday,Cloudy,Yes,24,Beverage,High
Wednesday,Rainy,Yes,21,Meal,High
Sunday,Cloudy,No,36,Snack,Low
Thursday,Sunny,No,41,Snack,High
Tuesday,Rainy,Yes,45,Beverage,Low
Friday,Sunny,Yes,48,Beverage,Low
Monday,Cloudy,Yes,45,Snack,Low
Monday,Cloudy,Yes,20,Snack,High
Friday,Cloudy,Yes,24,Meal,High
Friday,Sunny,No,53,Beverage,Low
Tuesday,Rainy,Yes,51,Beverage,Low
Tuesday,Rainy,Yes,29,Snack,High
Sunday,Rainy,No,32,Beverage,High
Tuesday,Rainy,Yes,25,Beverage,High
Tuesday,Rainy,Yes,25,Meal,High
Thursday,Sunny,Yes,54,Snack,Low
Thursday,Cloudy,No,52,Meal,Low
Tuesday,Rainy,Yes,45,Meal,High
Monday,Sunny,No,27,Meal,High
Sunday,Sunny,Yes,35,Snack,High
Friday,Rainy,Yes,46,Beverage,High
Saturday,Cloudy,Yes,51,Meal,Low
Wednesday,Cloudy,Yes,59,Snack,Low
Friday,Cloudy,Yes,42,Snack,High
Friday,Cloudy,No,32,Meal,Low
Thursday,Sunny,No,37,Beverage,Low
Monday,Cloudy,No,52,Snack,Low
Monday,Rainy,Yes,30,Meal,High
Monday,Sunny,No,36,Meal,High
Tuesday,Cloudy,No,58,Meal,Low
Saturday,Sunny,Yes,21,Meal,High
Wednesday,Cloudy,No,55,Meal,Low
Friday,Rainy,No,48,Meal,Low
Wednesday,Rainy,Yes,42,Snack,Low
Thursday,Sunny,No,27,Beverage,Low
Monday,Cloudy,No,32,Meal,High
Friday,Cloudy,Yes,31,Meal,High
Friday,Cloudy,Yes,27,Beverage,High
Monday,Cloudy,No,23,Beverage,Low
Monday,Sunny,No,29,Snack,High
Saturday,Sunny,No,24,Snack,High
Friday,Cloudy,No,31,Meal,Low
Sunday,Cloudy,Yes,55,Snack,Low
Saturday,Sunny,No,44,Meal,Low
Tuesday,Sunny,No,24,Meal,Low
Friday,Rainy,No,35,Meal,Low
Sunday,Rainy,Yes,55,Beverage,Low
Friday,Cloudy,Yes,25,Snack,High
Friday,Rainy,Yes,48,Meal,High
Monday,Rainy,Yes,42,Beverage,Low
Friday,Sunny,Yes,56,Meal,Low
Thursday,Rainy,No,42,Meal,Low
Thursday,Cloudy,No,48,Snack,High
Saturday,Cloudy,No,22,Beverage,Low
Sunday,Rainy,No,51,Snack,Low
Friday,Rainy,No,34,Beverage,Low
Saturday,Cloudy,No,42,Meal,Low
Tuesday,Rainy,Yes,23,Meal,High
Saturday,Sunny,Yes,36,Snack,Low
Saturday,Cloudy,Yes,37,Meal,High
Thursday,Sunny,No,42,Meal,Low
Saturday,Cloudy,Yes,25,Beverage,High
Thursday,Cloudy,Yes,37,Meal,High
Thursday,Rainy,Yes,58,Meal,Low
Monday,Rainy,No,49,Snack,Low
Wednesday,Sunny,No,35,Meal,Low
Saturday,Cloudy,Yes,58,Snack,Low
Thursday,Rainy,No,23,Meal,Low
Friday,Rainy,Yes,35,Snack,High
Friday,Cloudy,No,35,Snack,Low
Wednesday,Cloudy,Yes,45,Meal,High
Monday,Rainy,Yes,41,Meal,High
Wednesday,Rainy,Yes,46,Meal,Low
Wednesday,Sunny,No,52,Snack,Low
Monday,Rainy,No,32,Snack,Low
Tuesday,Cloudy,No,49,Snack,High
Saturday,Cloudy,No,50,Meal,High
Thursday,Sunny,Yes,25,Meal,High
Saturday,Cloudy,No,46,Snack,Low
Friday,Cloudy,Yes,53,Snack,Low
Monday,Cloudy,Yes,30,Beverage,High
Monday,Rainy,Yes,33,Beverage,High
Wednesday,Sunny,Yes,34,Beverage,High
Tuesday,Cloudy,No,33,Meal,Low
Wednesday,Sunny,Yes,26,Snack,High
Thursday,Sunny,Yes,20,Meal,High
Thursday,Cloudy,Yes,59,Beverage,Low
Tuesday,Cloudy,No,60,Meal,Low
Friday,Cloudy,Yes,49,Snack,High
Thursday,Rainy,Yes,49,Meal,High
Saturday,Sunny,Yes,46,Beverage,High
Friday,Cloudy,No,45,Snack,Low
Monday,Rainy,No,58,Meal,Low
Thursday,Rainy,No,45,Meal,High
Sunday,Cloudy,No,37,Meal,Low
Saturday,Rainy,Yes,42,Meal,High
Saturday,Sunny,No,45,Beverage,High
Wednesday,Rainy,No,28,Beverage,High
Wednesday,Rainy,No,50,Snack,Low
Sunday,Cloudy,No,46,Meal,Low
Thursday,Rainy,No,46,Beverage,Low
Wednesday,Rainy,Yes,23,Beverage,High
Friday,Sunny,No,44,Snack,High
Sunday,Cloudy,No,46,Beverage,Low
Sunday,Cloudy,Yes,41,Meal,High
Thursday,Rainy,No,21,Meal,High
Tuesday,Rainy,Yes,22,Meal,High
Monday,Cloudy,Yes,59,Snack,Low
Wednesday,Cloudy,Yes,54,Snack,Low
Wednesday,Cloudy,No,39,Meal,Low
Wednesday,Rainy,Yes,57,Beverage,Low
Wednesday,Rainy,No,33,Beverage,Low
Saturday,Sunny,No,29,Meal,High
Saturday,Rainy,Yes,23,Beverage,High
Friday,Sunny,Yes,52,Snack,Low
Thursday,Cloudy,Yes,27,Beverage,High
Saturday,Sunny,Yes,48,Snack,Low
Monday,Sunny,Yes,47,Meal,High
Thursday,Cloudy,Yes,39,Meal,High
Sunday,Sunny,Yes,34,Beverage,High
Tuesday,Cloudy,Yes,36,Beverage,High
Monday,Rainy,Yes,40,Meal,High
Monday,Cloudy,No,25,Snack,High
Monday,Cloudy,No,48,Beverage,High
Monday,Cloudy,No,57,Meal,Low
Saturday,Sunny,No,33,Snack,Low
Thursday,Sunny,Yes,33,Snack,High
Thursday,Sunny,No,58,Meal,Low
Saturday,Sunny,Yes,57,Snack,Low
Saturday,Cloudy,No,32,Snack,Low
Thursday,Rainy,No,33,Snack,Low
Tuesday,Sunny,Yes,27,Meal,High
Tuesday,Cloudy,Yes,27,Meal,High
Wednesday,Cloudy,No,49,Snack,Low
Friday,Cloudy,Yes,54,Snack,Low
Friday,Cloudy,No,51,Beverage,Low
Thursday,Rainy,Yes,23,Snack,High
Monday,Rainy,Yes,30,Beverage,High
Tuesday,Rainy,No,21,Beverage,High
Saturday,Cloudy,No,47,Snack,Low
Thursday,Sunny,No,39,Meal,High
Wednesday,Sunny,No,25,Beverage,High
Thursday,Cloudy,Yes,51,Meal,Low
Wednesday,Sunny,No,35,Beverage,High
Wednesday,Sunny,Yes,39,Beverage,Low
Wednesday,Rainy,No,36,Meal,Low
Thursday,Cloudy,No,24,Beverage,High
Thursday,Sunny,No,57,Beverage,Low
Sunday,Rainy,No,27,Meal,High
Sunday,Sunny,Yes,58,Snack,Low
Monday,Sunny,Yes,37,Snack,High
Friday,Cloudy,No,58,Snack,Low
Saturday,Rainy,No,35,Snack,Low
Monday,Cloudy,Yes,56,Meal,Low
Monday,Sunny,Yes,42,Snack,Low
Tuesday,Cloudy,Yes,55,Beverage,Low
Wednesday,Sunny,Yes,22,Meal,High
Friday,Cloudy,No,47,Meal,Low
Tuesday,Rainy,No,39,Meal,High
Monday,Rainy,Yes,22,Beverage,High
Monday,Cloudy,Yes,32,Snack,High
Friday,Rainy,Yes,48,Beverage,High
Saturday,Sunny,Yes,55,Snack,Low
Thursday,Cloudy,No,28,Snack,High
Friday,Rainy,Yes,60,Snack,Low
Tuesday,Sunny,No,28,Snack,Low
Monday,Cloudy,No,38,Snack,High
Wednesday,Cloudy,No,21,Snack,Low
Tuesday,Rainy,Yes,34,Meal,High
Thursday,Rainy,No,32,Beverage,High
Thursday,Sunny,No,60,Meal,Low
Friday,Cloudy,Yes,48,Snack,Low
Thursday,Cloudy,No,25,Snack,Low
Tuesday,Rainy,Yes,51,Beverage,Low
Monday,Sunny,No,41,Meal,High
Thursday,Cloudy,No,20,Beverage,Low
Sunday,Sunny,No,38,Meal,Low
Saturday,Cloudy,Yes,40,Snack,Low
Wednesday,Rainy,Yes,33,Meal,High
Thursday,Cloudy,No,54,Beverage,Low
Sunday,Sunny,Yes,21,Beverage,High
Monday,Cloudy,Yes,42,Beverage,High
Sunday,Rainy,No,43,Snack,Low
Tuesday,Cloudy,Yes,45,Meal,Low
Friday,Rainy,Yes,53,Snack,Low
Tuesday,Cloudy,Yes,35,Snack,High
Tuesday,Cloudy,No,54,Snack,Low
Sunday,Cloudy,Yes,41,Snack,Low
Saturday,Sunny,Yes,21,Meal,High
Wednesday,Cloudy,Yes,45,Snack,Low
Sunday,Rainy,Yes,49,Meal,High
Friday,Cloudy,No,33,Beverage,Low
Friday,Rainy,Yes,47,Beverage,High
Thursday,Sunny,No,45,Snack,High
Sunday,Rainy,No,57,Snack,Low
Friday,Cloudy,Yes,40,Snack,High
Monday,Rainy,Yes,43,Meal,Low
Sunday,Cloudy,No,39,Snack,High
Saturday,Cloudy,Yes,58,Meal,Low
Saturday,Sunny,No,59,Meal,Low
Thursday,Sunny,Yes,31,Beverage,High
Saturday,Cloudy,No,40,Meal,High
Thursday,Sunny,No,49,Meal,High
Saturday,Cloudy,No,48,Meal,High
Monday,Cloudy,Yes,22,Beverage,High
Tuesday,Cloudy,Yes,35,Beverage,High
Monday,Cloudy,Yes,60,Snack,Low
Tuesday,Sunny,No,23,Beverage,Low
Friday,Sunny,No,26,Snack,High
Thursday,Rainy,No,23,Snack,Low
Friday,Cloudy,No,47,Snack,Low
Tuesday,Cloudy,No,41,Meal,Low
Sunday,Rainy,No,22,Snack,Low
Wednesday,Cloudy,No,48,Snack,Low
Tuesday,Cloudy,Yes,57,Snack,Low
Monday,Rainy,Yes,24,Snack,High
Wednesday,Sunny,Yes,42,Beverage,High
Thursday,Rainy,No,29,Snack,Low
Thursday,Sunny,No,57,Beverage,Low
Sunday,Cloudy,No,24,Snack,High
Sunday,Rainy,Yes,49,Snack,Low
Tuesday,Sunny,Yes,39,Beverage,Low
Friday,Sunny,Yes,25,Meal,High
Tuesday,Sunny,No,42,Meal,Low
Thursday,Rainy,No,25,Beverage,Low
Saturday,Sunny,Yes,55,Meal,Low
Thursday,Cloudy,No,34,Beverage,High
Thursday,Rainy,No,33,Beverage,High
Sunday,Sunny,Yes,48,Snack,Low
Friday,Cloudy,Yes,50,Snack,Low
Saturday,Cloudy,Yes,25,Meal,High
Sunday,Cloudy,No,27,Beverage,High
Thursday,Sunny,No,23,Beverage,Low
Wednesday,Rainy,Yes,33,Meal,High
Monday,Rainy,No,25,Beverage,Low
Wednesday,Cloudy,Yes,20,Meal,High
Thursday,Cloudy,No,21,Snack,High
Monday,Cloudy,Yes,43,Meal,High
Monday,Sunny,No,41,Snack,Low
Tuesday,Sunny,Yes,30,Meal,High
Sunday,Rainy,Yes,59,Snack,Low
Tuesday,Rainy,Yes,27,Snack,High
Wednesday,Rainy,Yes,43,Snack,Low
Monday,Rainy,Yes,51,Snack,Low
Friday,Rainy,No,55,Beverage,Low
Monday,Cloudy,Yes,40,Snack,High
Friday,Sunny,Yes,29,Beverage,High
Monday,Cloudy,No,41,Snack,Low
Thursday,Cloudy,No,20,Snack,Low
Monday,Rainy,No,20,Meal,High
Tuesday,Cloudy,Yes,33,Meal,High
Saturday,Rainy,Yes,50,Snack,Low
Monday,Cloudy,No,24,Meal,Low
Tuesday,Rainy,Yes,30,Meal,High
Saturday,Sunny,No,25,Snack,High
Saturday,Sunny,Yes,26,Snack,High
Monday,Cloudy,Yes,42,Meal,High
Sunday,Sunny,Yes,48,Beverage,Low
Saturday,Rainy,Yes,26,Snack,High
Wednesday,Rainy,Yes,25,Snack,High
Tuesday,Sunny,No,56,Beverage,Low
Monday,Cloudy,No,48,Meal,High
Thursday,Sunny,No,32,Meal,Low
Wednesday,Rainy,Yes,48,Snack,Low
Sunday,Cloudy,No,23,Snack,High
Thursday,Rainy,Yes,44,Meal,Low
Tuesday,Rainy,Yes,51,Snack,Low
Friday,Rainy,Yes,36,Meal,Low
Monday,Rainy,Yes,42,Snack,Low
Sunday,Cloudy,Yes,46,Beverage,Low
Thursday,Sunny,No,38,Snack,Low
Sunday,Rainy,No,53,Snack,Low
Wednesday,Cloudy,Yes,29,Snack,High
Saturday,Sunny,Yes,58,Meal,Low
Wednesday,Sunny,No,36,Beverage,Low
Thursday,Rainy,No,47,Meal,Low
Saturday,Rainy,No,33,Meal,Low
Friday,Rainy,Yes,37,Meal,Low
Sunday,Sunny,Yes,34,Snack,High
Tuesday,Rainy,No,52,Snack,Low
Sunday,Sunny,No,50,Beverage,High
Saturday,Cloudy,No,43,Snack,Low
Thursday,Sunny,No,49,Beverage,High
Thursday,Sunny,Yes,26,Beverage,High
Sunday,Cloudy,No,45,Meal,Low
Thursday,Sunny,No,47,Beverage,Low
Wednesday,Rainy,Yes,47,Snack,Low
Sunday,Rainy,No,45,Snack,Low
Thursday,Sunny,No,50,Snack,Low
Wednesday,Cloudy,Yes,37,Snack,High
Tuesday,Rainy,Yes,26,Snack,High
Thursday,Cloudy,Yes,21,Beverage,High
Sunday,Cloudy,Yes,35,Meal,High
Sunday,Cloudy,No,33,Beverage,High
Monday,Cloudy,No,57,Snack,Low
Sunday,Sunny,Yes,35,Beverage,High
Tuesday,Rainy,No,21,Meal,High
Saturday,Cloudy,No,36,Snack,High
Thursday,Sunny,No,24,Meal,High
Friday,Rainy,No,54,Beverage,Low
Thursday,Sunny,No,43,Snack,Low
Saturday,Rainy,No,34,Meal,High
Sunday,Sunny,No,28,Snack,Low
Monday,Cloudy,No,43,Meal,High
Wednesday,Sunny,No,45,Meal,Low
Saturday,Sunny,Yes,39,Meal,High
Saturday,Sunny,Yes,28,Snack,High
Sunday,Sunny,Yes,49,Meal,High
Tuesday,Sunny,Yes,33,Snack,High
Wednesday,Sunny,Yes,60,Snack,Low
Saturday,Rainy,Yes,37,Snack,Low
Monday,Cloudy,No,50,Snack,Low
Friday,Sunny,Yes,23,Beverage,High
Thursday,Cloudy,No,43,Meal,High
Wednesday,Cloudy,Yes,40,Meal,High
Wednesday,Rainy,No,28,Beverage,High
Monday,Rainy,No,53,Beverage,Low
Tuesday,Sunny,No,55,Beverage,Low
Tuesday,Cloudy,No,51,Snack,Low
Sunday,Sunny,Yes,31,Meal,High
Monday,Cloudy,No,32,Beverage,High
Friday,Sunny,Yes,38,Snack,Low
Monday,Rainy,No,36,Beverage,High
Sunday,Cloudy,No,38,Snack,Low
Tuesday,Cloudy,No,45,Beverage,High
Sunday,Rainy,No,32,Snack,Low
Friday,Cloudy,Yes,40,Snack,High
Friday,Cloudy,No,43,Snack,Low
Sunday,Cloudy,Yes,43,Beverage,Low
Wednesday,Cloudy,No,60,Snack,Low
Monday,Sunny,Yes,28,Meal,High
Thursday,Rainy,No,56,Snack,Low
Tuesday,Sunny,No,47,Meal,Low
Friday,Rainy,No,38,Snack,Low
Monday,Rainy,No,24,Meal,High
Monday,Sunny,No,60,Snack,Low
Sunday,Cloudy,Yes,52,Meal,Low
Sunday,Sunny,Yes,35,Meal,High
Wednesday,Rainy,No,27,Snack,Low
Tuesday,Cloudy,Yes,60,Beverage,Low
Saturday,Sunny,Yes,43,Snack,High
Tuesday,Rainy,No,21,Beverage,Low
Sunday,Sunny,No,53,Beverage,Low
Monday,Sunny,Yes,22,Beverage,High
Saturday,Cloudy,Yes,45,Meal,High
Tuesday,Cloudy,No,47,Snack,High
Wednesday,Cloudy,No,20,Beverage,High
Wednesday,Rainy,Yes,56,Beverage,Low
Friday,Cloudy,Yes,24,Snack,High
Monday,Rainy,Yes,40,Snack,Low
Tuesday,Sunny,Yes,45,Snack,High
Friday,Cloudy,No,43,Meal,High
Tuesday,Cloudy,No,42,Snack,High
Wednesday,Sunny,Yes,40,Meal,High
Saturday,Rainy,Yes,53,Snack,Low
Saturday,Rainy,No,42,Meal,Low
Monday,Sunny,Yes,28,Meal,High
Wednesday,Sunny,No,40,Snack,High
Tuesday,Sunny,Yes,35,Snack,High
Friday,Sunny,No,50,Beverage,Low
Monday,Rainy,Yes,28,Meal,High
Thursday,Sunny,Yes,52,Meal,Low
Monday,Rainy,No,51,Beverage,Low
Tuesday,Sunny,Yes,51,Beverage,Low
Thursday,Cloudy,Yes,29,Meal,High
Monday,Cloudy,No,55,Beverage,Low
Thursday,Rainy,No,58,Meal,Low
Friday,Sunny,Yes,60,Meal,Low
Thursday,Cloudy,No,35,Snack,High
Monday,Cloudy,Yes,47,Beverage,Low
Tuesday,Rainy,Yes,24,Snack,High
Wednesday,Rainy,No,30,Snack,Low
Tuesday,Cloudy,Yes,47,Meal,Low
Wednesday,Rainy,Yes,37,Meal,High
Saturday,Cloudy,No,34,Meal,Low
Tuesday,Sunny,Yes,43,Meal,High
Wednesday,Rainy,No,51,Meal,Low
Thursday,Sunny,No,49,Snack,Low
Thursday,Sunny,Yes,47,Meal,Low
Sunday,Cloudy,Yes,52,Snack,Low
Friday,Rainy,Yes,52,Meal,Low
Sunday,Sunny,Yes,49,Beverage,Low
Saturday,Cloudy,No,53,Beverage,Low
Tuesday,Sunny,No,20,Snack,High
Monday,Cloudy,No,25,Beverage,High
Tuesday,Cloudy,No,22,Beverage,Low
Saturday,Cloudy,Yes,57,Meal,Low
Friday,Rainy,Yes,34,Meal,High
Sunday,Sunny,Yes,51,Meal,Low
Thursday,Sunny,Yes,36,Snack,Low
Sunday,Cloudy,Yes,36,Beverage,High
Friday,Rainy,Yes,28,Meal,High
Tuesday,Rainy,No,56,Meal,Low
Sunday,Cloudy,No,49,Meal,High
Saturday,Cloudy,No,24,Beverage,Low
Sunday,Rainy,No,23,Beverage,Low
Thursday,Sunny,No,44,Beverage,Low
Monday,Sunny,No,50,Snack,High
Sunday,Cloudy,Yes,50,Snack,Low
Monday,Sunny,No,37,Beverage,Low
Thursday,Sunny,No,60,Meal,Low
Monday,Rainy,No,46,Snack,Low
Sunday,Cloudy,No,40,Beverage,Low
Tuesday,Rainy,Yes,33,Snack,High
Sunday,Cloudy,Yes,32,Snack,High
Wednesday,Sunny,No,39,Beverage,Low
Wednesday,Cloudy,Yes,48,Snack,High
Sunday,Rainy,Yes,20,Beverage,High
Sunday,Cloudy,No,31,Meal,High
Sunday,Rainy,Yes,56,Beverage,Low
Monday,Rainy,Yes,45,Beverage,Low
Friday,Rainy,No,25,Meal,Low
Sunday,Cloudy,No,40,Snack,High
Sunday,Rainy,Yes,28,Meal,High
Monday,Cloudy,Yes,54,Snack,Low
Monday,Cloudy,No,60,Beverage,Low
Friday,Rainy,No,43,Snack,Low
Sunday,Rainy,Yes,43,Beverage,High
Sunday,Sunny,No,37,Meal,Low
Saturday,Rainy,Yes,52,Meal,Low
Thursday,Rainy,No,47,Beverage,High
Tuesday,Cloudy,Yes,20,Snack,High
Thursday,Cloudy,No,56,Snack,Low
Monday,Sunny,No,60,Beverage,Low
Wednesday,Rainy,No,25,Meal,High
Monday,Rainy,No,59,Snack,Low
Tuesday,Cloudy,Yes,45,Snack,Low
Saturday,Sunny,No,56,Meal,Low
Friday,Cloudy,Yes,30,Beverage,High
Friday,Sunny,Yes,29,Snack,High
Tuesday,Rainy,Yes,54,Snack,Low
Friday,Sunny,No,56,Meal,Low
Saturday,Rainy,No,22,Meal,Low
Saturday,Rainy,Yes,56,Snack,Low
Saturday,Sunny,Yes,58,Meal,Low
Monday,Sunny,No,49,Beverage,Low
Saturday,Cloudy,Yes,52,Beverage,Low
Tuesday,Cloudy,Yes,37,Snack,Low
Wednesday,Rainy,Yes,60,Beverage,Low
Sunday,Rainy,Yes,35,Snack,High
Sunday,Rainy,No,23,Snack,Low
Tuesday,Sunny,Yes,55,Beverage,Low
Sunday,Rainy,No,48,Meal,High
Wednesday,Rainy,No,55,Meal,Low
Saturday,Sunny,Yes,50,Snack,Low
Saturday,Rainy,Yes,50,Beverage,Low
Tuesday,Cloudy,Yes,29,Beverage,High
Monday,Sunny,No,26,Beverage,Low
Wednesday,Sunny,No,50,Snack,High
Wednesday,Rainy,No,23,Meal,High
Wednesday,Rainy,Yes,40,Beverage,Low
Monday,Cloudy,No,23,Meal,High
Wednesday,Rainy,No,27,Meal,High
Saturday,Cloudy,Yes,44,Beverage,High
Monday,Sunny,Yes,40,Snack,Low
Wednesday,Cloudy,Yes,57,Meal,Low
Friday,Sunny,Yes,39,Snack,High
Wednesday,Sunny,No,29,Meal,Low
Wednesday,Rainy,No,49,Meal,Low
Monday,Sunny,No,20,Snack,High
Wednesday,Sunny,No,51,Beverage,Low
Monday,Rainy,No,39,Meal,High
Friday,Rainy,No,37,Meal,High
Monday,Cloudy,Yes,56,Meal,Low
Wednesday,Sunny,No,32,Beverage,High
Sunday,Sunny,No,23,Beverage,High
Monday,Cloudy,Yes,56,Beverage,Low
Wednesday,Sunny,No,34,Meal,High
Monday,Rainy,No,42,Beverage,Low
Sunday,Rainy,Yes,47,Snack,Low
Tuesday,Sunny,Yes,33,Beverage,High
Sunday,Rainy,Yes,48,Meal,Low
Friday,Sunny,No,21,Beverage,Low
Monday,Sunny,No,43,Beverage,High
Wednesday,Sunny,No,45,Snack,High
Monday,Sunny,No,22,Beverage,Low
Saturday,Rainy,Yes,53,Snack,Low
Monday,Cloudy,No,46,Beverage,Low
Saturday,Sunny,No,48,Beverage,Low
Friday,Sunny,Yes,28,Snack,High
Friday,Sunny,Yes,37,Snack,Low
Sunday,Cloudy,Yes,23,Meal,High
Thursday,Sunny,No,31,Beverage,High
Thursday,Cloudy,Yes,54,Beverage,Low
Tuesday,Cloudy,No,46,Beverage,Low
Tuesday,Rainy,No,53,Meal,Low
Monday,Cloudy,No,39,Meal,Low
Saturday,Rainy,No,40,Meal,High
Thursday,Cloudy,Yes,44,Beverage,High
Friday,Rainy,Yes,50,Snack,Low
Sunday,Rainy,Yes,34,Meal,High
Saturday,Sunny,Yes,37,Meal,Low
Tuesday,Cloudy,Yes,60,Beverage,Low
Tuesday,Sunny,No,47,Snack,High
Sunday,Rainy,Yes,22,Beverage,High
Saturday,Cloudy,No,41,Beverage,Low
Sunday,Rainy,No,37,Beverage,Low
Thursday,Sunny,No,52,Meal,Low
Sunday,Rainy,No,45,Beverage,Low
Sunday,Rainy,Yes,31,Meal,High
Monday,Sunny,No,59,Meal,Low
Sunday,Cloudy,No,34,Beverage,High
Tuesday,Sunny,Yes,31,Meal,High
Friday,Sunny,No,38,Beverage,High
Friday,Sunny,No,45,Snack,High
Sunday,Sunny,No,36,Meal,High
Sunday,Sunny,Yes,47,Snack,High
Thursday,Cloudy,Yes,42,Snack,High
Friday,Sunny,Yes,48,Snack,High
Monday,Rainy,Yes,49,Meal,High
Thursday,Rainy,Yes,51,Beverage,Low
Tuesday,Sunny,Yes,45,Beverage,Low
Tuesday,Sunny,Yes,59,Beverage,Low
Friday,Cloudy,Yes,34,Beverage,High
Thursday,Cloudy,Yes,23,Snack,High
Wednesday,Cloudy,No,56,Beverage,Low
Sunday,Sunny,Yes,53,Snack,Low
Sunday,Cloudy,Yes,39,Snack,Low
Thursday,Rainy,Yes,30,Meal,High
Thursday,Cloudy,Yes,32,Meal,High
Monday,Rainy,Yes,44,Beverage,High
Saturday,Sunny,Yes,33,Beverage,High
Thursday,Rainy,Yes,54,Meal,Low
